Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 0:00,2010,1,1,0:00,-5.1,,-5.9,,94,,7,,11,,,,100.42,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 1:00,2010,1,1,1:00,-4.9,,-5.6,,95,,7,,11,,,,100.37,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 2:00,2010,1,1,2:00,-4.7,,-5.3,,96,,7,,11,,,,100.35,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 3:00,2010,1,1,3:00,-4.5,,-5.2,,95,,7,,11,,,,100.33,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 4:00,2010,1,1,4:00,-4.3,,-5,,95,,7,,11,,,,100.29,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 5:00,2010,1,1,5:00,-4.2,,-4.9,,95,,7,,13,,,,100.27,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 6:00,2010,1,1,6:00,-4.2,,-4.9,,95,,7,,11,,,,100.27,,,,-9,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 7:00,2010,1,1,7:00,-4.3,,-4.8,,96,,7,,9,,,,100.26,,,,-8,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 8:00,2010,1,1,8:00,-4.3,,-4.8,,96,,6,,9,,,,100.24,,,,-8,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 9:00,2010,1,1,9:00,-4.2,,-4.8,,96,,6,,9,,,,100.23,,,,-8,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 10:00,2010,1,1,10:00,-4,,-4.7,,95,,6,,11,,,,100.23,,,,-8,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 11:00,2010,1,1,11:00,-3.6,,-4.6,,93,,7,,9,,,,100.17,,,,-7,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 12:00,2010,1,1,12:00,-3.3,,-4.4,,92,,5,,9,,,,100.08,,,,-7,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 13:00,2010,1,1,13:00,-3.1,,-4.4,,91,,6,,11,,,,100.05,,,,-7,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 14:00,2010,1,1,14:00,-3,,-4.2,,91,,3,,7,,,,100.04,,,,-6,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 15:00,2010,1,1,15:00,-3,,-4.1,,92,,6,,7,,,,100.05,,,,-6,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 16:00,2010,1,1,16:00,-3.1,,-4,,93,,5,,7,,,,100.03,,,,-6,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 17:00,2010,1,1,17:00,-3.5,,-4.1,,96,,7,,4,,,,100.03,,,,-5,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 18:00,2010,1,1,18:00,-3.7,,-4.2,,96,,2,,2,,,,100.02,,,,-5,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 19:00,2010,1,1,19:00,-3.4,,-3.7,,98,,,,0,,,,100.01,,,,,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 20:00,2010,1,1,20:00,-3.4,,-3.8,,97,,,,0,,,,100,,,,,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 21:00,2010,1,1,21:00,-4.7,,-5.3,,96,,26,,13,,,,99.96,,,,-10,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 22:00,2010,1,1,22:00,-6.2,,-7,,94,,27,,17,,,,99.95,,,,-12,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,01/01/2010 23:00,2010,1,1,23:00,-7.5,,-8.6,,92,,27,,19,,,,99.93,,,,-15,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 0:00,2010,1,2,0:00,-8,,-9.2,,91,,28,,15,,,,99.9,,,,-14,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 1:00,2010,1,2,1:00,-9.1,,-10.6,,89,,28,,17,,,,99.91,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 2:00,2010,1,2,2:00,-9.7,,-11.1,,89,,29,,11,,,,99.93,,,,-15,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 3:00,2010,1,2,3:00,-10.5,,-11.9,,89,,28,,15,,,,99.96,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 4:00,2010,1,2,4:00,-11,,-12.6,,88,,29,,13,,,,99.96,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 5:00,2010,1,2,5:00,-11.5,,-13.2,,87,,29,,15,,,,99.96,,,,-19,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 6:00,2010,1,2,6:00,-12.1,,-13.9,,86,,30,,15,,,,100.01,,,,-19,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 7:00,2010,1,2,7:00,-12.7,,-14.5,,86,,29,,15,,,,100.03,,,,-20,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 8:00,2010,1,2,8:00,-13.2,,-15,,86,,29,,15,,,,100.05,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 9:00,2010,1,2,9:00,-13.4,,-15.3,,86,,30,,13,,,,100.11,,,,-20,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 10:00,2010,1,2,10:00,-13.4,,-15.8,,82,,29,,15,,,,100.13,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 11:00,2010,1,2,11:00,-13.3,,-16,,80,,29,,17,,,,100.11,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 12:00,2010,1,2,12:00,-12.8,,-15.8,,78,,28,,17,,,,100.05,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 13:00,2010,1,2,13:00,-12.7,,-15.6,,79,,29,,17,,,,100.05,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 14:00,2010,1,2,14:00,-12.3,,-15.2,,79,,28,,17,,,,100.07,,,,-20,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 15:00,2010,1,2,15:00,-12.3,,-15,,80,,29,,15,,,,100.11,,,,-20,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 16:00,2010,1,2,16:00,-13,,-15.5,,81,,29,,19,,,,100.13,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 17:00,2010,1,2,17:00,-13.3,,-15.5,,83,,28,,15,,,,100.15,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 18:00,2010,1,2,18:00,-13.4,,-16,,81,,29,,19,,,,100.15,,,,-22,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 19:00,2010,1,2,19:00,-14,,-16.8,,79,,29,,17,,,,100.12,,,,-22,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 20:00,2010,1,2,20:00,-14.4,,-17.3,,79,,29,,17,,,,100.1,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 21:00,2010,1,2,21:00,-14.1,,-17.2,,77,,30,,17,,,,100.02,,,,-22,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 22:00,2010,1,2,22:00,-13.8,,-17.3,,75,,31,,22,,,,99.96,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,02/01/2010 23:00,2010,1,2,23:00,-14.1,,-17.2,,77,,30,,19,,,,99.88,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 0:00,2010,1,3,0:00,-14.3,,-16.6,,83,,30,,22,,,,99.77,,,,-24,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 1:00,2010,1,3,1:00,-14.4,,-16.8,,82,,30,,26,,,,99.7,,,,-25,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 2:00,2010,1,3,2:00,-14.5,,-16.9,,82,,30,,28,,,,99.54,,,,-25,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 3:00,2010,1,3,3:00,-14.3,,-17.4,,77,,30,,24,,,,99.45,,,,-24,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 4:00,2010,1,3,4:00,-13.9,,-16.7,,79,,31,,22,,,,99.41,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 5:00,2010,1,3,5:00,-13.5,,-16.1,,81,,31,,26,,,,99.35,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 6:00,2010,1,3,6:00,-13.4,,-15.1,,87,,31,,28,,,,99.33,,,,-24,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 7:00,2010,1,3,7:00,-12.9,,-15.5,,81,,32,,30,,,,99.33,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 8:00,2010,1,3,8:00,-12.4,,-15.6,,77,,31,,30,,,,99.35,,,,-23,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 9:00,2010,1,3,9:00,-11.8,,-14.9,,78,,32,,26,,,,99.36,,,,-21,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 10:00,2010,1,3,10:00,-11,,-13.9,,79,,31,,26,,,,99.39,,,,-20,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 11:00,2010,1,3,11:00,-9.9,,-13,,78,,32,,26,,,,99.35,,,,-19,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 12:00,2010,1,3,12:00,-8.9,,-12.2,,77,,31,,24,,,,99.36,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 13:00,2010,1,3,13:00,-8.2,,-11.4,,78,,32,,26,,,,99.35,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 14:00,2010,1,3,14:00,-7.9,,-10.9,,79,,32,,28,,,,99.4,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 15:00,2010,1,3,15:00,-8.2,,-10,,87,,31,,24,,,,99.47,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 16:00,2010,1,3,16:00,-8.2,,-10.1,,86,,32,,22,,,,99.54,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 17:00,2010,1,3,17:00,-8.3,,-10.8,,82,,32,,26,,,,99.6,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 18:00,2010,1,3,18:00,-8.5,,-10.5,,85,,31,,19,,,,99.68,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 19:00,2010,1,3,19:00,-8.5,,-10.1,,88,,31,,19,,,,99.72,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 20:00,2010,1,3,20:00,-8,,-10.7,,81,,32,,22,,,,99.73,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 21:00,2010,1,3,21:00,-8.2,,-10.4,,84,,32,,26,,,,99.74,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 22:00,2010,1,3,22:00,-8.3,,-10.8,,82,,32,,26,,,,99.78,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,03/01/2010 23:00,2010,1,3,23:00,-8.6,,-11.3,,81,,32,,19,,,,99.79,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 0:00,2010,1,4,0:00,-9,,-11.9,,79,,31,,15,,,,99.76,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 1:00,2010,1,4,1:00,-9,,-11.7,,81,,32,,17,,,,99.75,,,,-16,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 2:00,2010,1,4,2:00,-9.2,,-11.7,,82,,32,,22,,,,99.78,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 3:00,2010,1,4,3:00,-9.6,,-12.4,,80,,32,,19,,,,99.79,,,,-17,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 4:00,2010,1,4,4:00,-10,,-12.7,,81,,32,,22,,,,99.79,,,,-18,,NA
-75.72,45.38,OTTAWA CDA RCS,6105978,04/01/2010 5:00,2010,1,4,5:00,-10,,-12.4,,83,,32,,22,,,,99.79,,,,-18,,NA
