Predicted Demand,Metric Prioritization,Date,Time
731.3378956,NMAE,4/4/2020,0:00:00
721.6694033,NMAE,4/4/2020,1:00:00
722.7993888,NMAE,4/4/2020,2:00:00
722.3356164,NMAE,4/4/2020,3:00:00
741.9619204,NMAE,4/4/2020,4:00:00
774.062285,NMAE,4/4/2020,5:00:00
866.3141957,NMAE,4/4/2020,6:00:00
884.2636559,NMAE,4/4/2020,7:00:00
888.4040871,NMAE,4/4/2020,8:00:00
891.5093153,NMAE,4/4/2020,9:00:00
889.1698859,NMAE,4/4/2020,10:00:00
894.8357719,NMAE,4/4/2020,11:00:00
916.2294686,NMAE,4/4/2020,12:00:00
911.3513801,NMAE,4/4/2020,13:00:00
903.9064285,NMAE,4/4/2020,14:00:00
931.7040496,NMAE,4/4/2020,15:00:00
943.1187467,NMAE,4/4/2020,16:00:00
968.6208841,NMAE,4/4/2020,17:00:00
967.267502,NMAE,4/4/2020,18:00:00
963.8660145,NMAE,4/4/2020,19:00:00
929.6517236,NMAE,4/4/2020,20:00:00
902.5971718,NMAE,4/4/2020,21:00:00
840.2693585,NMAE,4/4/2020,22:00:00
801.8729573,NMAE,4/4/2020,23:00:00
